UF,Município,Foco,Registro,Protocolo,COBRADE,Status,População,DH_Mortos,DH_Feridos,DH_Enfermos,DH_Desabrigados,DH_Desalojados,DH_Desaparecidos,DH_Outros Afetados,DM_Unidades Habitacionais Danificadas,DM_Unidades Habitacionais Destruídas,DM_Unidades Habitacionais Valor,DM_Instalações públicas de saúde Danificadas,DM_Instalações públicas de saúde Destruídas,DM_Instalações públicas de saúde Valor,DM_Instalações públicas de ensino Danificadas,DM_Instalações públicas de ensino Destruídas,DM_Instalações públicas de ensino Valor,DM_Instalações públicas prestadoras de outros serviços Danificadas,DM_Instalações públicas prestadoras de outros serviços Destruídas,DM_Instalações públicas prestadoras de outros serviços Valor,DM_Instalações públicas de uso comunitário Danificadas,DM_Instalações públicas de uso comunitário Destruídas,DM_Instalações públicas de uso comunitário Valor,DM_Obras de infraestrutura pública Danificadas,DM_Obras de infraestrutura pública Destruídas,DM_Obras de infraestrutura pública Valor,DA_Poluição ou contaminação da água,DA_Poluição ou contaminação do ar,DA_Poluição ou contaminação do solo,DA_Diminuição ou exaurimento hídrico,"DA_Incêndios em parques, APA's ou APP's","PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$)",PEPL_Abastecimento de água potável (R$),PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$),PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$),PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$),PEPL_Geração e distribuição de energia elétrica (R$),PEPL_Telecomunicações (R$),"PEPL_Transportes locais, regionais e de longo curso (R$)","PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$)",PEPL_Segurança pública (R$),PEPL_Ensino (R$),PEPR_Agricultura (R$),PEPR_Pecuária (R$),PEPR_Indústria (R$),PEPR_Comércio (R$),PEPR_Serviços (R$),,Franco da Rocha,Vizinhas
SP,Caieiras,Vizinhas,20/02/2020,SP-F-3509007-13214-20200210,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,86623,0,0,0,0,29,0,100000,0,0,0.0,0,0,0.0,1,0,200000.0,0,0,0.0,1,0,100000.0,7,0,2.28E7,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Cajamar,Vizinhas
SP,Caieiras,Vizinhas,31/01/2022,SP-F-3509007-13214-20220130,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,86623,0,0,0,20,120,0,10000,4,1,2732.0,0,0,0.0,1,0,471699.24,1,0,1406127.82,1,0,673377.76,4,0,1425365.62,,,,,,0.0,0.0,6400.0,35000.0,932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,26000.0,50000.0,,Caieiras,Vizinhas
SP,Caieiras,Vizinhas,09/10/2023,SP-F-3509007-13214-20231008,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,86623,0,0,0,8,260,0,20000,0,0,0.0,1,0,655532.26,3,0,365635.9,1,0,1028853.1,3,0,1172705.55,0,3,2400333.45,,,,,,,,,,,,,,,,,,,,,,,Mairiporã,Vizinhas
SP,Caieiras,Vizinhas,31/12/2024,SP-F-3509007-13214-20241230,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,86623,1,0,0,4,4,0,16400,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,11,0,"2,01E+15",,,,,,,,,,,,,,,,,,,,,,,Campo Limpo Paulista,Vizinhas
SP,Cajamar,Vizinhas,26/01/2023,SP-F-3509205-12300-20230126,12300 - Alagamentos,Registro,64113,0,0,0,0,320,0,0,320,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,Jundiaí,Vizinhas
SP,Campo Limpo Paulista,Vizinhas,01/02/2022,SP-F-3509601-13214-20220130,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,74114,0,0,0,74,7,0,0,0,5,500000.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,5000000.0,,,,,,11320.0,0.0,5250000.0,51003.7,7500.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,,Francisco Morato,Foco
SP,Franco da Rocha,Vizinhas,30/01/2022,SP-F-3516408-13214-20220130,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,131603,18,0,2,77,202,0,10464,0,0,0.0,8,0,2000000.0,25,0,1906500.0,0,0,0.0,0,0,0.0,37,0,"1,15E+15",DE 0% A 5%,,,,,2000000.0,0.0,0.0,"1,15E+15",0.0,0.0,0.0,0.0,0.0,3200.0,1906500.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Franco da Rocha,Vizinhas,10/10/2023,SP-F-3516408-13214-20231008,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,131603,0,0,0,34,10,0,17082,0,0,0.0,12,0,485000.0,18,0,2910000.0,0,0,0.0,0,0,0.0,2,0,1154697.9,,,,,,,,,,,,,,,,,,,,,,,,
SP,Franco da Rocha,Vizinhas,04/02/2025,SP-F-3516408-13214-20250201,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,131603,0,0,0,36,229,0,3000,0,28,0.0,3,0,0.0,3,0,0.0,6,0,0.0,1,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Mairiporã,Vizinhas,29/12/2022,SP-F-3528502-13214-20221226,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,80920,0,0,0,227,4600,0,7300,386,0,1.0E7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,13,0,"1,10E+18",MAIS DE 20%,,MAIS DE 20%,MAIS DE 20%,,0.0,200000.0,310000.0,240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Mairiporã,Vizinhas,27/12/2022,SP-F-3528502-13214-20221201,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,80920,0,0,0,227,4600,0,7300,386,0,1.0E7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,13,0,"1,10E+18",MAIS DE 20%,,MAIS DE 20%,MAIS DE 20%,,0.0,200000.0,310000.0,240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Agudos,Tirar da analise,31/01/2022,SP-F-3500709-13214-20220131,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,34532,0,0,0,0,0,0,1000,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,8,0,1500000.0,,,,,,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,1300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Agudos,Tirar da analise,07/02/2023,SP-F-3500709-12200-20230206,12200 - Enxurradas,Registro,34532,0,0,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4,0,600000.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Agudos,Tirar da analise,08/02/2023,SP-F-3500709-13214-20230206,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,34532,0,0,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4,0,600000.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Andradina,Tirar da analise,14/02/2020,SP-F-3502101-13214-20200204,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,55317,0,0,0,4,15,0,12000,6,1,250000.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,2,750000.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Aparecida,Tirar da analise,22/02/2022,SP-F-3502507-13214-20220215,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,35043,0,0,0,0,0,0,800,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4,4,184000.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Araçariguama,Tirar da analise,30/06/2020,SP-F-3502754-13214-20200211,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,17085,1,1,0,29,284,0,9013,160,6,56000.0,0,0,0.0,2,0,24303.95,0,0,0.0,0,1,220000.0,10,5,8625000.0,DE 5% A 10%,DE 5% A 10%,DE 5% A 10%,DE 5% A 10%,,305110.0,0.0,1000000.0,1342360.0,0.0,0.0,0.0,8845000.0,20119.44,5590.11,24303.95,0.0,0.0,0.0,0.0,0.0,,,
SP,Araçariguama,Tirar da analise,21/02/2020,SP-F-3502754-13214-20200210,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,17085,1,1,0,29,284,0,9013,160,6,56000.0,0,0,0.0,2,0,24303.95,0,0,0.0,0,1,220000.0,10,5,8625000.0,DE 5% A 10%,DE 5% A 10%,DE 5% A 10%,DE 5% A 10%,,305110.0,0.0,1000000.0,1342360.0,0.0,0.0,0.0,8845000.0,20119.44,5590.11,24303.95,0.0,0.0,0.0,0.0,0.0,,,
SP,Araraquara,Tirar da analise,29/12/2022,SP-F-3503208-13214-20221228,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,208725,6,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,9,2,"1,05E+12",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Artur Nogueira,Tirar da analise,09/01/2023,SP-F-3503802-12300-20221230,12300 - Alagamentos,Registro,44270,0,0,0,0,20,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Atibaia,Tirar da analise,27/02/2020,SP-F-3504107-13214-20200225,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,126614,0,0,0,35,13,0,3000,35,1,50000.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,20,450000.0,,,,,,0.0,0.0,0.0,150000.0,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,,,
SP,Avaré,Tirar da analise,03/02/2022,SP-F-3504503-13214-20220201,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,82935,0,1,0,2,16,0,262,3,0,75000.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,0,459576.09,,,,,,0.0,0.0,0.0,8312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Barretos,Tirar da analise,07/01/2022,SP-F-3505500-13214-20220106,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,112102,1,1,0,10,11,0,59596,30,2,892900.0,3,0,57600.0,5,0,124434.9,0,0,0.0,0,0,0.0,26,0,4.37E7,,,,,,0.0,231414.8,262075.27,51000.0,0.0,0.0,0.0,0.0,0.0,0.0,109057.83,0.0,0.0,0.0,0.0,0.0,,,
SP,Bebedouro,Tirar da analise,31/01/2020,SP-F-3506102-13214-20200122,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,75044,0,0,0,0,0,0,2000,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,609066.99,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Bertioga,Tirar da analise,19/02/2023,SP-F-3506359-13214-20230218,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,47572,0,0,0,0,0,0,47572,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,0,600000.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Bofete,Tirar da analise,12/02/2020,SP-F-3506904-12200-20200210,12200 - Enxurradas,Reconhecido,9282,0,0,0,0,4,0,9280,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,2,510000.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Boituva,Tirar da analise,24/02/2023,SP-F-3507001-13214-20230218,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,48323,0,0,0,0,330,0,14744,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,0,120082.83,25,0,4059498.81,,,,,,,,,,,,,,,,,,,,,,,,
SP,Botucatu,Tirar da analise,11/02/2020,SP-F-3507506-13214-20200210,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,127370,4,1,0,35,100,0,70000,80,10,500000.0,0,0,0.0,1,0,3200.0,0,0,0.0,0,0,0.0,6,27,1.5E7,,,,DE 10% A 20%,,0.0,8800.0,0.0,100000.0,16519.17,0.0,0.0,3000.0,0.0,2000.0,0.0,0.0,0.0,100000.0,400000.0,0.0,,,
SP,Brotas,Tirar da analise,29/12/2022,SP-F-3507902-13214-20221228,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,21580,0,0,0,0,0,0,100,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,500000.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,5000000.0,0.0,0.0,0.0,100000.0,,,
SP,Brotas,Tirar da analise,12/03/2024,SP-F-3507902-13214-20240309,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,21580,1,0,0,0,8,0,23889,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,17,0,550000.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Brotas,Tirar da analise,18/03/2025,SP-F-3507902-13214-20250317,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,21580,0,0,0,0,4,0,11,3,0,15000.0,0,0,0.0,11,0,20000.0,0,0,0.0,0,0,0.0,3,0,178600.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Cabrália Paulista,Tirar da analise,08/02/2022,SP-F-3508306-13214-20220130,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,4365,0,0,0,0,0,0,1000,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,8000.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,8000.0,12000.0,0.0,0.0,0.0,,,
SP,Cabreúva,Tirar da analise,19/03/2020,SP-F-3508405-12100-20200210,12100 - Inundações,Registro,41643,1,0,0,0,2,0,39,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,MAIS DE 20%,DE 5% A 10%,MAIS DE 20%,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Caçapava,Tirar da analise,24/02/2023,SP-F-3508504-13214-20230219,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,84844,0,0,0,0,4,0,8297,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4,2,"1,46E+15",,,,,,,,,,,,,,,,,,,,,,,,
SP,Cachoeira Paulista,Tirar da analise,10/02/2023,SP-F-3508603-13214-20230209,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,30099,0,0,0,0,0,0,16900,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,2,508000.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Caiabu,Tirar da analise,16/02/2023,SP-F-3508900-13214-20230211,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,4072,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Caiuá,Tirar da analise,07/02/2022,SP-F-3509106-13214-20220130,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,5039,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,1,0.0,0,0,0.0,,,,,,10000.0,0.0,0.0,1000.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,10000.0,10000.0,0.0,10000.0,10000.0,,,
SP,Campinas,Tirar da analise,23/01/2023,SP-F-3509502-13214-20230120,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,1080999,0,0,0,0,300,0,0,100,0,6500000.0,42,0,1977000.0,13,0,399970.0,2,0,300000.0,17,0,625000.0,6,1,6.5E7,,,,,,,,,,,,,,,,,,,,,,,,
SP,Capivari,Tirar da analise,19/11/2020,SP-F-3510401-13214-20201117,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,48573,0,0,0,0,43,0,52957,0,0,0.0,0,0,0.0,2,0,100000.0,2,0,200000.0,1,0,30000.0,3,0,490000.0,,,,,,0.0,0.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Capivari,Tirar da analise,31/12/2022,SP-F-3510401-13214-20221228,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,48573,0,0,0,161,3000,0,40000,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,0,"1,52E+10",,,,,,0.0,5500000.0,0.0,9650000.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Capivari,Tirar da analise,31/01/2022,SP-F-3510401-13214-20220129,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,48573,0,1,0,250,2000,0,18000,1300,0,1000000.0,0,0,0.0,1,0,250000.0,0,0,0.0,0,0,0.0,7,0,"1,90E+10",,,,,,0.0,4250000.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Capivari,Tirar da analise,31/01/2022,SP-F-3510401-12100-20220129,12100 - Inundações,Registro,48573,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Capivari,Tirar da analise,30/12/2024,SP-F-3510401-12100-20241228,12100 - Inundações,Reconhecido,48573,0,0,0,176,700,0,40000,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,0,3079509.59,,,,,,,,,,,,,,,,,,,,,,,,
SP,Caraguatatuba,Tirar da analise,19/02/2023,SP-F-3510500-13214-20230218,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,100899,0,0,0,0,0,0,100899,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,10,0,1800000.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Cássia dos Coqueiros,Tirar da analise,14/11/2023,SP-F-3510906-13214-20231031,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,2627,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Catanduva,Tirar da analise,19/11/2020,SP-F-3511102-13214-20201118,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,112843,0,0,0,0,0,0,0,1,0,10000.0,1,0,10000.0,3,0,20000.0,0,0,0.0,2,0,20000.0,1,0,40000.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Catiguá,Tirar da analise,10/02/2022,SP-F-3511201-13214-20220131,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,7127,0,0,0,37,0,0,45,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,0,1256234.96,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,,,
SP,Charqueada,Tirar da analise,10/02/2023,SP-F-3511706-12300-20230202,12300 - Alagamentos,Registro,15086,0,0,0,0,5,0,0,4,0,150000.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Cosmópolis,Tirar da analise,05/01/2023,SP-F-3512803-12200-20230103,12200 - Enxurradas,Não reconhecido,58821,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,4600000.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Cunha,Tirar da analise,06/04/2022,SP-F-3513603-13214-20220403,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,21874,0,0,0,0,0,0,1084,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,16,"1,09E+10",DE 0% A 5%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,09E+10",0.0,0.0,0.0,0.0,472290.0,0.0,0.0,0.0,,,
SP,Cunha,Tirar da analise,06/02/2023,SP-F-3513603-13214-20230201,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,21874,0,1,0,0,9,0,1022,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,150000.0,10,0,229000.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Diadema,Tirar da analise,23/04/2025,SP-F-3513801-13214-20250419,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,386039,0,0,0,0,0,0,1108,1,0,150000.0,0,0,0.0,1,0,300000.0,0,0,0.0,0,0,0.0,8,0,435000.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Diadema,Tirar da analise,28/02/2025,SP-F-3513801-12300-20250131,12300 - Alagamentos,Não reconhecido,386039,0,0,0,0,0,0,42,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
SP,Dois Córregos,Tirar da analise,03/01/2023,SP-F-3514106-13214-20221228,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,24768,0,0,0,16,134,0,24618,42,0,5000.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,7,6,3560000.0,,,,MAIS DE 20%,,0.0,1500000.0,0.0,60000.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,,,
SP,Embu das Artes,Tirar da analise,07/01/2021,SP-F-3515004-13214-20201229,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,240007,8,0,0,37,507,0,2406,105,23,9200000.0,0,0,100000.0,0,0,0.0,0,0,300000.0,0,0,0.0,0,0,1.08E7,,,,,,100000.0,0.0,0.0,240000.0,0.0,0.0,0.0,0.0,0.0,30180.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Embu das Artes,Tirar da analise,18/01/2021,SP-F-3515004-13214-20210110,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,240007,0,0,0,0,12,0,0,3,2,100630.6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,5000000.0,,,,,,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Embu das Artes,Tirar da analise,31/01/2022,SP-F-3515004-13214-20220127,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,240007,3,0,0,230,850,0,0,1018,10,4.3E7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,30,0,3.5E7,,,,,,0.0,2500000.0,5000000.0,8000000.0,0.0,1000000.0,1000000.0,2500000.0,0.0,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
SP,Embu das Artes,Tirar da analise,14/03/2023,SP-F-3515004-13214-20230308,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,240007,0,0,0,36,292,0,11399,0,0,0.0,0,0,0.0,2,0,540000.0,0,0,0.0,1,0,6500000.0,6,0,4056355.67,,,,,,,,,,,,,,,,,,,,,,,,
SP,Embu das Artes,Tirar da analise,04/02/2025,SP-F-3515004-13214-20250203,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,240007,0,0,0,11,382,0,66261,0,0,0.0,0,0,0.0,7,0,1800000.0,1,0,150000.0,1,0,5000000.0,2,0,4000000.0,,,,,,,,,,,,,,,,,,,,,,,,
